Tipster,Date,Selection,BetType,Bonus,Venue,State,Race No,Horse No,Horse,RaceAnchorFull,RunnerAnchor,Status,Result,WinDividend,PlaceDividend,Stake,Return,Profit,SettlementStatus
Joel,14/08/2026,king saint,Win,No,Mildura,VIC,1,5,KING SAINT,ML140826_R1,ML140826_R1_KING SAINT,VALID,1st,1.2,,100.0,120.0,20.0,SETTLED
Mick,14/08/2026,atomik crunch,Each Way,No,Wagga,NSW,4,6,ATOMIK CRUNCH,EY140826_R4,EY140826_R4_ATOMIK CRUNCH,VALID,3rd,,,100.0,0.0,-100.0,SETTLED
Sarah,14/08/2026,letsgo big girl,Each Way,No,Mildura,VIC,2,2,LETSGO BIG GIRL,ML140826_R2,ML140826_R2_LETSGO BIG GIRL,VALID,Unplaced,,,100.0,0.0,-100.0,SETTLED
Joel,15/08/2026,nevada gambler,Each Way,No,Globe Derby Park,SA,2,3,NEVADA GAMBLER,GD150826_R2,GD150826_R2_NEVADA GAMBLER,VALID,1st,1.6,1.1,100.0,135.0,35.0,SETTLED
Mick,15/08/2026,baystyle,Each Way,No,Melton,VIC,5,6,BAYSTYLE,MX150826_R5,MX150826_R5_BAYSTYLE,VALID,Unplaced,,,100.0,0.0,-100.0,SETTLED
Sarah,15/08/2026,ghost of time,Each Way,No,Albion Park,QLD,7,4,GHOST OF TIME,AP150826_R7,AP150826_R7_GHOST OF TIME,VALID,Unplaced,,,100.0,0.0,-100.0,SETTLED
Joel,16/08/2026,colorado girl,Each Way,No,Hobart,TAS,1,2,COLORADO GIRL,EH160826_R1,EH160826_R1_COLORADO GIRL,VALID,Unplaced,,,100.0,0.0,-100.0,SETTLED
Mick,16/08/2026,butter me up,Each Way,No,Central Wheatbelt,WA,1,5,BUTTER ME UP,ZO160826_R1,ZO160826_R1_BUTTER ME UP,VALID,2nd,,1.5,100.0,75.0,-25.0,SETTLED
Sarah,16/08/2026,master louey,Each Way,No,Cranbourne,VIC,2,7,MASTER LOUEY,CR160826_R2,CR160826_R2_MASTER LOUEY,VALID,Unplaced,,,100.0,0.0,-100.0,SETTLED
Joel,17/08/2026,bitta irish luck,Each Way,Yes,Gawler,SA,1,6,BITTA IRISH LUCK,AW170826_R1,AW170826_R1_BITTA IRISH LUCK,VALID,2nd,,1.2,200.0,120.0,-80.0,SETTLED
Mick,17/08/2026,over the line,Each Way,No,Charlton,VIC,2,6,OVER THE LINE,CH170826_R2,CH170826_R2_OVER THE LINE,VALID,Unplaced,,,100.0,0.0,-100.0,SETTLED
Sarah,17/08/2026,kimchi,Each Way,Yes,Charlton,VIC,1,4,KIMCHI,CH170826_R1,CH170826_R1_KIMCHI,VALID,3rd,,,200.0,0.0,-200.0,SETTLED
Joel,18/08/2026,superior stride,Each Way,No,Menangle,NSW,1,3,SUPERIOR STRIDE,PC180826_R1,PC180826_R1_SUPERIOR STRIDE,VALID,1st,1.2,1.1,100.0,115.0,15.0,SETTLED
Mick,18/08/2026,victree charlie,Each Way,Yes,Albion Park,QLD,5,3,VICTREE CHARLIE,AP180826_R5,AP180826_R5_VICTREE CHARLIE,VALID,3rd,,3.1,200.0,310.0,110.0,SETTLED
Sarah,18/08/2026,hancocks hero,Each Way,No,Shepparton,VIC,1,3,HANCOCKS HERO,SP180826_R1,SP180826_R1_HANCOCKS HERO,VALID,Unplaced,,,100.0,0.0,-100.0,SETTLED
Joel,19/08/2026,the torque effect,Each Way,No,Redcliffe,QLD,1,7,THE TORQUE EFFECT,RE190826_R1,RE190826_R1_THE TORQUE EFFECT,VALID,Unplaced,,,100.0,0.0,-100.0,SETTLED
Mick,19/08/2026,bettor punter,Each Way,No,Ballarat,VIC,2,4,BETTOR PUNTER NZ,BA190826_R2,BA190826_R2_BETTOR PUNTER NZ,VALID,3rd,,1.6,100.0,80.0,-20.0,SETTLED
Sarah,19/08/2026,binalong mate,Each Way,No,Ballarat,VIC,3,5,BINALONG MATE,BA190826_R3,BA190826_R3_BINALONG MATE,VALID,2nd,,1.04,100.0,52.0,-48.0,SETTLED
Joel,20/08/2026,kings gallery,Each Way,No,Kilmore,VIC,4,10,KINGS GALLERY,KI200826_R4,KI200826_R4_KINGS GALLERY,VALID,1st,1.4,1.04,100.0,122.0,22.0,SETTLED
Mick,20/08/2026,frosty drop,Each Way,No,Kilmore,VIC,5,7,FROSTY DROP,KI200826_R5,KI200826_R5_FROSTY DROP,VALID,2nd,,4.7,100.0,235.0,135.0,SETTLED
Sarah,20/08/2026,this is heaven,Each Way,No,Penrith,NSW,4,4,THIS IS HEAVEN,PE200826_R4,PE200826_R4_THIS IS HEAVEN,VALID,2nd,,1.04,100.0,52.0,-48.0,SETTLED
Joel,21/08/2026,wichita kansas,Each Way,No,Melton,VIC,6,4,WICHITA KANSAS,MX210826_R6,MX210826_R6_WICHITA KANSAS,VALID,Unplaced,,,100.0,0.0,-100.0,SETTLED
Mick,21/08/2026,arrival time,Each Way,No,Melton,VIC,8,6,ARRIVAL TIME,MX210826_R8,MX210826_R8_ARRIVAL TIME,VALID,Unplaced,,,100.0,0.0,-100.0,SETTLED
Sarah,21/08/2026,donnyosko,Each Way,No,Melton,VIC,9,4,DONNYOSKO,MX210826_R9,MX210826_R9_DONNYOSKO,VALID,Unplaced,,,100.0,0.0,-100.0,SETTLED
Joel,23/08/2026,blissfull lilly,Each Way,No,Ararat,VIC,2,5,BLISSFULL LILLY,AR230826_R2,AR230826_R2_BLISSFULL LILLY,VALID,3rd,,6.9,100.0,345.0,245.0,SETTLED
Mick,23/08/2026,boutika,Each Way,No,Ararat,VIC,3,5,BOUTIKA,AR230826_R3,AR230826_R3_BOUTIKA,VALID,1st,1.4,1.04,100.0,122.0,22.0,SETTLED
Sarah,23/08/2026,ravishing roxy,Each Way,No,Ararat,VIC,5,6,RAVISHING ROXY,AR230826_R5,AR230826_R5_RAVISHING ROXY,VALID,,,,100.0,,,RESULT NOT AVAILABLE
