RaceAnchorFull,Race No,HRA Analysis,HRA Analysis URL
AP190926_R1,1,"BEYOND DOUBT (7) was a very impressive winner last time out sitting without cover and just proving too good at this track and trip. HES ALL TORQUE (6) has been excellent in recent outings. He was able to overcome a 40 metre handicap last time out in the Showcase series and broke the track record winning well. He draws well and is likely to press forward and look to race in a prominent position. BUDDY PERFECT (5) was able to lead and win three starts ago at Redcliffe rating reasonable time. He may be able to press forward and find the lead again before having options from there. MAJOR CRUNCH (2) has excellent gate speed and may be able to zip across before taking a sit on one of the better chances. He was running on well last start after putting in a poor run his start prior sitting leaders back and fading out of it late. SELECTIONS: BEYOND DOUBT (7), HES ALL TORQUE (6), BUDDY PERFECT (5), MAJOR CRUNCH (2) SUGGESTED BET: BUDDY PERFECT (5) each way.",https://www.harness.org.au/racing/2026-09-19/albion-park/AP190926/meeting/analysis
AP190926_R2,2,"CATSEYE BEACH (1) burned very hard to lead two starts ago and was beaten just 5.2 metres by the in-form Attachment who is set to go around a short-priced favourite in the open class pace later in the card. He and was just run down by Double Lou in late June. He should lead and take all kinds of running down in this race. AIR EXPRESS (8) should get a good run through behind the likely leader in the race. He followed through nicely two starts ago and was able to run fourth behind Rakasandy not beaten too far. He should get the right run and can be running on late. SMARTER THAN YOU (9) was left without cover and wasn’t beaten too far by Fate Awaits in a race which didn’t suit runners off the pegs. He should get a good run off the speed and can be running on late. EXCLUSIVE HUSTLER (3) couldn’t quite show enough gate speed last time out to hold out Rakasandy who was able to lead all the way. He draws less favourably this time and is set for what looks to be quite a tough run on paper. SELECTIONS: CATSEYE BEACH (1), AIR EXPRESS (8), SMARTER THAN YOU (9), EXCLUSIVE HUSTLER (3) SUGGESTED BET: CATSEYE BEACH (1) to win.",https://www.harness.org.au/racing/2026-09-19/albion-park/AP190926/meeting/analysis
AP190926_R3,3,"BETTERTHANFEDERER (3) is a capable sit sprinter that appears quite well suited in this race from a low front row draw. He won his first two for Tom Callaghan before doing things wrong last time out after working hard. STARZZZDESTINY (10) found the top recently at this track and trip and was run down in good time by Mister Manager. He gets less favours from a back row draw this time but should still be thereabouts. SPUNKYS GOTSECRETS (1) impressed in NSW three starts ago when sitting without cover and proving too good. He was just fair when having his first QLD start last time out but does draw to get plenty of favours this time. FOXFIRE EASTON (5) started off a 30 metre handicap two starts ago and was too good there. He may be shuffled back again in this race and can be running on late. SELECTIONS: BETTERTHANFEDERER (3), STARZZZDESTINY (10), SPUNKYS GOTSECRETS (1), FOXFIRE EASTON (5) SUGGESTED BET: BETTERTHANFEDERER (3) to win.",https://www.harness.org.au/racing/2026-09-19/albion-park/AP190926/meeting/analysis
AP190926_R4,4,"MAGNETIC STORM (2) wasn’t asked to do much in a recent trial when following them around before pulling out late and running through the line well. He has had two weeks since that trial and should be fitter. His best form would see him hard to beat in a race of this nature. DUAL CAM (1) has gate speed which should give him options in this race. He attempted to cross last time out but wasn’t able to get over and was left off the pegs in a race dominated by runners up on speed. STUDLEIGH MARK (8) secured a good run last time out and was able to run over the top late to beat Sweet Rocky over the 1660. He should be suited by the inside back row draw and can be running on late in this race. GREAT ACHIEVER (9) finished the race off fairly last time out after sitting on the leaders back last time out at this track. He should find this race a bit easier and draws to do no work early. SELECTIONS: MAGNETIC STORM (2), DUAL CAM (1), STUDLEIGH MARK (8), GREAT ACHIEVER (9) SUGGESTED BET: MAGNETIC STORM (2) to win.",https://www.harness.org.au/racing/2026-09-19/albion-park/AP190926/meeting/analysis
AP190926_R5,5,"GOLDEN SHOOZ (7) bounced back to form last time out when leading and winning by a huge margin there. Given that race was the second division of the Qualifying race she gets into the same race again this week against the mares this time and looks hard to beat again. ALWAYS ADORNED (2) has gate speed and may look to press forward early before having options from there. She was running on well into third last time out at Redcliffe in a race taken out by Nitrator who ran a very slick last half. She should be thereabouts. HARPERVILLE (3) was having her first run since late July last time out when running on fairly late into fifth. She draws more favourably this time and is seemingly a horse which likes to race up on speed. THE LADY DIOR (5) finished third behind Miss Bay King Cole last time out after being forced to do the work outside the leader which isn’t a position she is usually suited to in races. She may be left to do some work again but should run well. SELECTIONS: GOLDEN SHOOZ (7), ALWAYS ADORNED (2), HARPERVILLE (3), THE LADY DIOR (5) SUGGESTED BET: GOLDEN SHOOZ (7) to win.",https://www.harness.org.au/racing/2026-09-19/albion-park/AP190926/meeting/analysis
AP190926_R6,6,"DOVE LAKE (1) got back in the run last time out in a stronger race and was running through the line nicely late into sixth. She comes into this race third up from a spell and should be nearing peak fitness. PRINCESS ARNA (8) should get a good run through in this race behind a horse which is likely to be keen to hold a forward position. She was a winner three starts ago leading all the way and rating good time. OUR ULTIMATE MILLY (5) handed over to Sheer Vitality last time out and was able to run second to that horse at Redcliffe. She draws awkwardly in this race and will need a few things to go her way in the run. MOVE HEAVENNEARTH (9) secured a good run leaders back last time out and was running on well into third behind Sporty Zara. She is likely to get a good run off the speed and can be running on late again. SELECTIONS: DOVE LAKE (1), PRINCESS ARNA (8), OUR ULTIMATE MILLY (5), MOVE HEAVENNEARTH (9) SUGGESTED BET: DOVE LAKE (1) to win.",https://www.harness.org.au/racing/2026-09-19/albion-park/AP190926/meeting/analysis
AP190926_R7,7,"ATTACHMENT (5) has won four in a row and looks set to be very hard to beat in another suitable race. He has great gate speed and can look to fly across early and take it up which should see him hard to run down in this race. TIMS A TROOPER (1) may be suited by the step back up to 2138 in this race after closing strongly late last time out to just miss second in a similar field. He may be shuffled back early and should be running on strongly late. WISPER A SECRET (3) has brilliant gate speed and should be able to zip across before sitting on his stablemate ATTACHMENT (5) again. He was good enough to hang on for second last time out and will be looking to do the same again. DASHING (6) was excellent in a recent trial when not beaten far by Captain Shuffles in fast time. He draws poorly in this race and will need the race run to suit to be figuring in the finish. SELECTIONS: ATTACHMENT (5), TIMS A TROOPER (1), WISPER A SECRET (3), DASHING (6) SUGGESTED BET: TIMS A TROOPER (1) to place.",https://www.harness.org.au/racing/2026-09-19/albion-park/AP190926/meeting/analysis
AP190926_R8,8,"GOLDEN FIRE (3) has brilliant gate speed and is likely to attempt to zip across early before having options from there. She was able to burn across last time out over the 2138 before taking a sit on Sally Bigtime and running second. She is likely to be suited back to 1660 and should be hard to beat. SALLY BIGTIME (6) was able to work to the lead last time out over the 2138 taking them all the way holding off the late challenge of GOLDEN FIRE (3). This race appears likely to pan out similar on paper and she should run well again. TREMENDOUS SENSATION (1) didn’t have much luck last time out when crossed early before being checked when that horse galloped. She has the same draw again in this race which could see her crossed and shuffled back needing a few things to go her way in the run. LUVARECHS (2) was forced to race without cover last time out against similar company and battled on well there for sixth. She appears likely to be suited by the step back in distance and draws well in this race. SELECTIONS: GOLDEN FIRE (3), SALLY BIGTIME (6), TREMENDOUS SENSATION (1), LUVARECHS (2) SUGGESTED BET: GOLDEN FIRE (3) to win. Harness.org.au Help Privacy Advertise Terms Of Use Contact Us © Racing Information Services Enterprise 2026 Powered by",https://www.harness.org.au/racing/2026-09-19/albion-park/AP190926/meeting/analysis
CH210926_R1,1,"OVERVIEW:BOSS MAJOR (1) hasn’t been at his best form for some time but he is perfectly drawn in a suitable race and has the services of leading reinsman James Herbertson so he gets his chance to improve. JOEYS HANGOVER (6) is resuming since a third at Shepparton in June. He is a fast beginner and he is usually competitive against this class so he is worth an investment. ALLTHEWAYTOROYALTY (4) was runner up at Ballarat on August 05 and has joined local trainer Michael Gadsden since his latest unplaced performance. He is worth thought under these conditions. MY LUCKY ROCK (2) is resuming since a fifth at Melton in July 2025. She lacks recent racing but she was racing in reasonable form at the end of her last preparation so she has claims if she is somewhere near her peak. She raced without cover when a reasonable fourth at a Maryborough trial effort last week. SELECTIONS: BOSS MAJOR (1), JOEYS HANGOVER (6), ALLTHEWAYROYALTY (4), MY LUCKY ROCK (2)",https://www.harness.org.au/racing/2026-09-21/charlton/CH210926/meeting/analysis
CH210926_R2,2,"OVERVIEW:OVER THE LINE (6) led out then took cover and was held up for momentum on the home turn before using the sprint lane when she finished second behind Chainsmoke at Swan Hill last week. She should be getting close to her peak form after having two starts back from a break and is worth following. FLEUR BELLA (1) has performed nicely in three starts since coming from New South Wales and was able to lead throughout at Mildura last outing. She is drawn to lead again and should take catching. TORQUE INTHEUSA (7) has had a few chances since returning from South Australia but he is dropping back into a more suitable class now and he met a smart one in Farroh Joe at Stawell last outing so he warrants consideration. SKIPPYS DELIGHT (5) was runner up in a slick mile of 1.54.8 at Geelong two starts ago and is not without a chance under these conditions. SELECTIONS: OVER THE LINE (6), FLEUR BELLA (1), TORQUE INTHEUSA (7), SKIPPYS DELIGHT (5)",https://www.harness.org.au/racing/2026-09-21/charlton/CH210926/meeting/analysis
